dokumen,unesco,gempa,menteri,rusak,longsor,banjir,perintah,ekonomi,pemprov,presiden,camat,korban,preman,polisi,pemkab,bupati,gubernur,infrastruktur,kerjasama,perda,kabupaten,macet,sampah,tsunami,kampanye,label
1,0.0,0.0,0.0,0.4913542220109925,0.0,0.0,0.0,0.0,0.0,0.6460907623631081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5840699917826889,0.0,0.0,0.0,1
2,0.8324579871373193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238282216693433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3569080248017474,0.0,0.0,0.0,0.0,1
3,0.09413529471042313,0.0,0.0,0.0,0.0,0.0,0.09884549913237932,0.16571773386727293,0.1072234514333024,0.0,0.0,0.0,0.0,0.0,0.0,0.20710047203722876,0.4008663745501758,0.0,0.8595489642670938,0.0,0.0,0.0,0.0,0.0,0.0,0
4,0.7814588372857978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6239567978858223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8810210655590022,0.0,0.0,0.0,0.4730770360536225,0.0,0.0,0.0,0.0,1
7,0.7591301372411011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6509388870948692,0.0,0.0,0.0,0.0,1
8,0.07137624890612065,0.0,0.0,0.0,0.0,0.0,0.07494766942649464,0.14135876494769106,0.0,0.0,0.1453587765904606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1836111112521948,0.0,0.8816459785970606,0.0,0.3703567629038002,0
9,0.9591730348252168,0.0,0.2286776118548489,0.0,0.0,0.0,0.0,0.0,0.0,0.1664140592033806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.5790546462461313,0.0,0.0,0.0,0.5615296352871285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5910839072035984,0.0,0.0,0.0,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.14583533440434698,0.0,0.9491763226257997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22178734349485765,0.1200993350226949,0.0,0.0,0.11909193003027828,0.0,0.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,0.6303127800719431,0.0,0.0,0.0,0.0,0.0,0.0,0.20805295292487447,0.0,0.0,0.3209103027433436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6756007294625974,0.0,0.0,0.0,0.0,0
16,0.3460353756214765,0.0,0.0,0.0,0.0,0.0,0.7266995769436514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5934368068197504,0.0,0.0,0.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.16760501705772232,0.4214929944517766,0.0,0.0,0.0,0.0,0.0,0.0,0.3036010156884641,0.0,0.0,0.0,0.33634009271454673,0.0,0.2737389405069571,0.0,0.7169525588495984,0.0,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12228665889493852,0.9924948226848908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6567056564005463,0.5076105368556643,0.0,0.5577358010067416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20,0.0,0.0,0.5274929760493702,0.2919336838262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2523715341044781,0.0,0.33301055225454623,0.0,0.5420582186088787,0.0,0.0,0.0,0.4100138448463283,0
21,0.0,0.0,0.1799967924354658,0.0,0.0,0.1273352696772867,0.0566258136448365,0.14240256154271685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8008338433044505,0.4305845641873743,0.18653154509202932,0.11363342067965525,0.0,0.2312086252636396,0.0,0.0,0.0,0.0,0
22,0.07719286575137878,0.0,0.2576510324194368,0.0,0.0,0.0,0.48633197791278204,0.10191894673291996,0.1318881326714634,0.0,0.15720440201179992,0.0,0.0,0.0,0.0,0.0,0.0,0.40050751339626,0.0,0.0,0.6619133618707504,0.0,0.0,0.2002689992615787,0.0,0
23,0.28219647374561485,0.0,0.0,0.5212833239684753,0.3098232732188762,0.3331656789358109,0.2963166088403836,0.1862942066986511,0.482147742624985,0.0,0.0,0.0,0.0,0.0,0.2683750909983777,0.0,0.0,0.0,0.0,0.0,0.12098891188120875,0.0,0.0,0.0,0.0,0
24,0.5132282120801273,0.0,0.6852124347093025,0.0,0.0,0.0,0.21556335037961785,0.13552464544404338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17752223863714472,0.2162900566024508,0.0,0.3520663294030421,0.0,0.0,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.5003194858733468,0.0,0.6977900476573471,0.0,0.13862210969985855,0.0,0.0,0.0,0.0,0.0,0.4347938236496601,0.0,0.0,0.0,0.23346884816663616,0.0,0.0,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.5061766952095004,0.0,0.0,0.5854486744117987,0.0,0.0,0.0,0.0,0.4584461774509687,0.0,0.3848984370902056,0.0,0.0,0.0,0.20667679686498006,0.0,0.0,0.0,0.0,0
27,0.1500249116805493,0.0,0.0,0.0,0.0,0.0,0.31506327829476805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2594631154913306,0.0,0.0,0.900503497075347,0.0,0.0,0.0,0.0,0
