Fitur,Parent Entropy,Class Entropy,IG
kabupaten,1.0,0.41672654089045447,0.5832734591095455
perintah,1.0,0.514469720442935,0.48553027955706496
unesco,1.0,0.5308360280434737,0.46916397195652626
camat,1.0,0.5947979137750962,0.40520208622490383
ekonomi,1.0,0.6976514454727243,0.3023485545272757
gubernur,1.0,0.8214508564455165,0.17854914355448348
bupati,1.0,0.8431130803199944,0.15688691968000557
pemprov,1.0,0.8519241446836485,0.14807585531635148
menteri,1.0,0.8539662015539814,0.1460337984460186
infrastruktur,1.0,0.8599405626633791,0.14005943733662085
rusak,1.0,0.8948186471606919,0.10518135283930807
pemkab,1.0,0.8977931817546655,0.10220681824533451
kerjasama,1.0,0.931737804413381,0.06826219558661895
longsor,1.0,0.9440647059820548,0.05593529401794517
macet,1.0,0.9445228626419307,0.05547713735806925
sampah,1.0,0.9496962522884089,0.050303747711591074
korban,1.0,0.9587974060187217,0.041202593981278346
banjir,1.0,0.9587974060187217,0.041202593981278346
presiden,1.0,0.9645327537358013,0.035467246264198726
kampanye,1.0,0.9745375470613078,0.025462452938692204
polisi,1.0,0.9745375470613078,0.025462452938692204
tsunami,1.0,0.9749815038286614,0.025018496171338556
gempa,1.0,0.98,0.020000000000000018
preman,1.0,0.9899271353749991,0.010072864625000899
perda,1.0,0.99,0.010000000000000009
pergub,1.0,1.0,0.0
kebakaran,1.0,1.0,0.0
pidana,1.0,1.0,0.0
pemilu,1.0,1.0,0.0
