dokumen,Prediksi,Actual
76,0,0
22,0,0
92,0,1
153,0,0
3,0,0
71,0,1
86,0,0
151,0,0
7,0,1
113,0,1
1,0,1
156,0,0
78,0,1
66,0,0
56,0,0
168,0,1
89,0,0
131,0,1
47,0,0
63,0,0
75,0,0
93,1,1
148,0,1
161,0,0
144,0,1
88,0,0
181,0,0
146,0,1
165,0,0
11,0,1
33,0,0
84,0,0
183,0,0
101,0,1
126,0,1
24,0,0
127,0,1
10,0,1
171,0,1
105,0,1
152,0,0
136,0,1
112,0,1
189,0,0
65,0,1
16,0,0
42,0,0
164,0,0
110,0,1
81,0,0
53,0,0
27,0,0
77,0,1
44,0,0
25,0,0
4,0,1
170,0,1
50,0,1
150,0,1
132,0,1
191,0,1
31,0,0
122,0,1
116,0,1
176,0,1
9,0,0
61,0,0
129,0,1
2,0,1
58,0,0
23,0,0
62,0,0
64,0,0
8,0,0
197,0,1
142,0,1
87,0,0
97,0,0
69,0,1
51,0,1
143,0,1
158,0,0
157,0,0
140,0,1
147,0,1
102,0,0
21,0,0
179,0,1
26,0,0
135,0,1
72,0,0
130,0,1
145,0,1
193,0,1
80,0,0
134,0,1
138,0,1
73,0,0
141,0,1
38,0,0
